Keyword/Phrase,Escalation TF-IDF,Ratio
agent,0.0586940773855206,58.6940773855206
review,0.057116948360585236,57.11694836058523
complaint,0.05601303199817147,56.01303199817146
leave review,0.04520400469057856,45.20400469057856
leave,0.04520400469057856,45.20400469057856
file,0.04360997128034114,43.609971280341135
feedback,0.03964518879160152,39.64518879160152
talk,0.036739267324820316,36.73926732482032
submit,0.03631840547470794,36.31840547470794
file complaint,0.03485876364999677,34.858763649996774
submit feedback,0.034065229003803384,34.06522900380338
speak,0.025627108583805402,25.627108583805402
business,0.02402322520140637,24.02322520140637
claim,0.020103884053091364,20.103884053091363
subscribe,0.019988944119356162,19.988944119356162
contact agent,0.01878300475978275,18.78300475978275
complaint business,0.018605649839858057,18.605649839858057
talk agent,0.017924860628517218,17.92486062851722
review company,0.01744994937212273,17.44994937212273
services,0.021129363083292062,16.73816054461619
consumer,0.016696017727617984,16.696017727617985
reclamation,0.01653472464578453,16.53472464578453
review service,0.016210360557648844,16.210360557648844
company,0.05742916511623344,14.801560403305237
lodge,0.014707752706989707,14.707752706989707
